X,Y,STATE,NAME,LAT,LON,Start_Time,Full_Time,End_Time,ObjectId
-89.65258,39.377529,IL,Waggoner,39.377529,-89.65258,2024/02/18 17:45:10+00,2024/02/18 19:02:30+00,2024/02/18 20:18:30+00,7743
-91.546457,42.579284,IA,Dundee,42.579284,-91.546457,2024/02/18 17:47:50+00,2024/02/18 19:02:50+00,2024/02/18 20:16:50+00,7744
-85.258154,41.443361,IN,Kendallville,41.443361,-85.258154,2024/02/18 17:54:20+00,2024/02/18 19:10:40+00,2024/02/18 20:24:50+00,7745
-86.55518,41.176638,IN,Ora,41.176638,-86.55518,2024/02/18 17:52:10+00,2024/02/18 19:08:40+00,2024/02/18 20:23:10+00,7746
-87.813921,41.788452,IL,Summit,41.788452,-87.813921,2024/02/18 17:51:20+00,2024/02/18 19:07:20+00,2024/02/18 20:21:40+00,7747
-89.591338,41.55706,IL,Walnut,41.55706,-89.591338,2024/02/18 17:48:40+00,2024/02/18 19:04:40+00,2024/02/18 20:19:20+00,7748
-92.16002,42.568498,IA,Dunkerton,42.568498,-92.16002,2024/02/18 17:47:00+00,2024/02/18 19:02:00+00,2024/02/18 20:16:00+00,7749
-85.539199,38.737369,IN,Kent,38.737369,-85.539199,2024/02/18 17:50:20+00,2024/02/18 19:08:00+00,2024/02/18 20:23:30+00,7750
-85.172226,41.730543,IN,Orland,41.730543,-85.172226,2024/02/18 17:54:50+00,2024/02/18 19:11:00+00,2024/02/18 20:25:00+00,7751
-88.144854,41.571968,IL,Sunnyland,41.571968,-88.144854,2024/02/18 17:50:30+00,2024/02/18 19:06:40+00,2024/02/18 20:21:20+00,7752
-89.618962,39.068997,IL,Walshville,39.068997,-89.618962,2024/02/18 17:44:50+00,2024/02/18 19:02:10+00,2024/02/18 20:18:20+00,7753
-95.601935,41.851949,IA,Dunlap,41.851949,-95.601935,2024/02/18 17:41:50+00,2024/02/18 18:56:20+00,2024/02/18 20:10:50+00,7754
-87.446454,40.773951,IN,Kentland,40.773951,-87.446454,2024/02/18 17:50:20+00,2024/02/18 19:07:00+00,2024/02/18 20:22:00+00,7755
-86.078691,41.665656,IN,Osceola,41.665656,-86.078691,2024/02/18 17:53:30+00,2024/02/18 19:09:40+00,2024/02/18 20:23:50+00,7756
-87.733299,41.123409,IL,Sun River Terrace,41.123409,-87.733299,2024/02/18 17:50:30+00,2024/02/18 19:06:50+00,2024/02/18 20:21:40+00,7757
-88.961188,40.221774,IL,Wapella,40.221774,-88.961188,2024/02/18 17:47:30+00,2024/02/18 19:04:20+00,2024/02/18 20:19:40+00,7758
-90.775364,42.561962,IA,Durango,42.561962,-90.775364,2024/02/18 17:48:40+00,2024/02/18 19:03:50+00,2024/02/18 20:18:00+00,7759
