STATE,NAME,LAT,LON,Start_Partial,Start_Total,End_Total,End_Partial,Midpoint_Totality,ObjectId,TestTime,Total_Duration
TX,Boerne,29.784938,-98.727949,2024/02/18 17:15:00+00,2024-02-18 18:32:48+00:00,2024-02-18 18:36:21+00:00,2024/02/18 19:55:50+00,2024/02/18 18:34:34+00,2547,12:15:00,03:33
OH,Perry Heights,40.798468,-81.468819,2024/02/18 17:59:10+00,2024-02-18 19:15:20+00:00,2024-02-18 19:15:50+00:00,2024/02/18 20:29:00+00,2024/02/18 19:15:35+00,2548,12:59:10,00:30
PA,Venango,41.77272,-80.112074,2024/02/18 18:02:20+00,2024-02-18 19:16:30+00:00,2024-02-18 19:19:33+00:00,2024/02/18 20:30:40+00,2024/02/18 19:18:02+00,2549,01:02:20,03:03
OH,Sulphur Springs,40.87222,-82.87643,2024/02/18 17:57:10+00,2024-02-18 19:11:39+00:00,2024-02-18 19:15:29+00:00,2024/02/18 20:27:30+00,2024/02/18 19:13:34+00,2550,12:57:10,03:50
TX,Hudson Bend,30.414655,-97.927341,2024/02/18 17:17:30+00,2024-02-18 18:35:20+00:00,2024-02-18 18:38:37+00:00,2024/02/18 19:58:00+00,2024/02/18 18:36:58+00,2551,12:17:30,03:17
TX,Bogata,33.469793,-95.21355,2024/02/18 17:27:10+00,2024-02-18 18:44:07+00:00,2024-02-18 18:48:28+00:00,2024/02/18 20:05:50+00,2024/02/18 18:46:18+00,2552,12:27:10,04:21
OH,Perrysburg,41.538986,-83.644132,2024/02/18 17:56:50+00,2024-02-18 19:11:51+00:00,2024-02-18 19:14:10+00:00,2024/02/18 20:26:40+00,2024/02/18 19:13:00+00,2553,12:56:50,02:19
PA,Warren,41.842916,-79.143865,2024/02/18 18:03:50+00,2024-02-18 19:18:49+00:00,2024-02-18 19:19:30+00:00,2024/02/18 20:31:40+00,2024/02/18 19:19:10+00,2554,01:03:50,00:41
OH,Sunbury,40.249405,-82.880199,2024/02/18 17:56:20+00,2024-02-18 19:12:12+00:00,2024-02-18 19:14:01+00:00,2024/02/18 20:27:20+00,2024/02/18 19:13:06+00,2555,12:56:20,01:49
TX,Hughes Springs,32.99874,-94.63105,2024/02/18 17:27:10+00,2024-02-18 18:45:13+00:00,2024-02-18 18:47:50+00:00,2024/02/18 20:06:10+00,2024/02/18 18:46:32+00,2556,12:27:10,02:37
TX,Bonham,33.588022,-96.190095,2024/02/18 17:26:00+00,2024-02-18 18:43:23+00:00,2024-02-18 18:46:23+00:00,2024/02/18 20:04:30+00,2024/02/18 18:44:53+00,2557,12:26:00,03:00
OH,Perrysville,40.658402,-82.31438,2024/02/18 17:57:40+00,2024-02-18 19:12:54+00:00,2024-02-18 19:15:31+00:00,2024/02/18 20:28:00+00,2024/02/18 19:14:12+00,2558,12:57:40,02:37
PA,Waterford,41.945169,-79.985133,2024/02/18 18:02:40+00,2024-02-18 19:16:36+00:00,2024-02-18 19:19:57+00:00,2024/02/18 20:30:50+00,2024/02/18 19:18:16+00,2559,01:02:40,03:21
OH,Swanton,41.584874,-83.885249,2024/02/18 17:56:30+00,2024-02-18 19:12:17+00:00,2024-02-18 19:12:48+00:00,2024/02/18 20:26:30+00,2024/02/18 19:12:32+00,2560,12:56:30,00:31
TX,Hurst,32.836643,-97.180627,2024/02/18 17:23:10+00,2024-02-18 18:40:44+00:00,2024-02-18 18:43:32+00:00,2024/02/18 20:02:00+00,2024/02/18 18:42:08+00,2561,12:23:10,02:48
TX,Box Canyon,29.533512,-101.15861,2024/02/18 17:11:20+00,2024-02-18 18:29:28+00:00,2024-02-18 18:30:24+00:00,2024/02/18 19:51:20+00,2024/02/18 18:29:56+00,2562,12:11:20,00:56
OH,Pheasant Run,41.211352,-82.145523,2024/02/18 17:58:40+00,2024-02-18 19:12:56+00:00,2024-02-18 19:16:44+00:00,2024/02/18 20:28:20+00,2024/02/18 19:14:50+00,2563,12:58:40,03:48
PA,Wattsburg,42.002732,-79.804783,2024/02/18 18:02:50+00,2024-02-18 19:16:53+00:00,2024-02-18 19:20:12+00:00,2024/02/18 20:31:00+00,2024/02/18 19:18:32+00,2564,01:02:50,03:19
OH,Sycamore,40.951672,-83.17097,2024/02/18 17:56:50+00,2024-02-18 19:11:16+00:00,2024-02-18 19:15:13+00:00,2024/02/18 20:27:10+00,2024/02/18 19:13:14+00,2565,12:56:50,03:57
TX,Hutchins,32.643392,-96.709833,2024/02/18 17:23:20+00,2024-02-18 18:40:30+00:00,2024-02-18 18:44:39+00:00,2024/02/18 20:02:40+00,2024/02/18 18:42:34+00,2566,12:23:20,04:09
TX,Brackettville,29.318201,-100.410503,2024/02/18 17:11:50+00,2024-02-18 18:28:49+00:00,2024-02-18 18:33:06+00:00,2024/02/18 19:52:20+00,2024/02/18 18:30:58+00,2567,12:11:50,04:17
OH,Phillipsburg,39.903957,-84.40098,2024/02/18 17:53:40+00,2024-02-18 19:08:54+00:00,2024-02-18 19:12:26+00:00,2024/02/18 20:25:20+00,2024/02/18 19:10:40+00,2568,12:53:40,03:32
PA,Wesleyville,42.136921,-80.01227,2024/02/18 18:02:50+00,2024-02-18 19:16:28+00:00,2024-02-18 19:20:10+00:00,2024/02/18 20:30:50+00,2024/02/18 19:18:19+00,2569,01:02:50,03:42
OH,Sylvania,41.710362,-83.710212,2024/02/18 17:57:00+00,2024-02-18 19:13:00+00:00,2024-02-18 19:13:20+00:00,2024/02/18 20:26:40+00,2024/02/18 19:13:10+00,2570,12:57:00,00:20
OH,Tallmadge,41.106119,-81.424834,2024/02/18 17:59:40+00,2024-02-18 19:14:24+00:00,2024-02-18 19:17:09+00:00,2024/02/18 20:29:10+00,2024/02/18 19:15:46+00,2571,12:59:40,02:45
OH,Taylor Creek,39.22925,-84.67814,2024/02/18 17:52:20+00,2024-02-18 19:09:40+00:00,2024-02-18 19:09:50+00:00,2024/02/18 20:24:40+00,2024/02/18 19:09:45+00,2572,12:52:20,00:10
OH,Tiffin,41.11491,-83.180468,2024/02/18 17:57:00+00,2024-02-18 19:11:24+00:00,2024-02-18 19:15:16+00:00,2024/02/18 20:27:10+00,2024/02/18 19:13:20+00,2573,12:57:00,03:52
OH,Timberlake,41.665522,-81.442798,2024/02/18 18:00:10+00,2024-02-18 19:14:11+00:00,2024-02-18 19:18:03+00:00,2024/02/18 20:29:10+00,2024/02/18 19:16:07+00,2574,01:00:10,03:52
OH,Tipp City,39.964474,-84.18638,2024/02/18 17:54:00+00,2024-02-18 19:09:20+00:00,2024-02-18 19:12:44+00:00,2024/02/18 20:25:40+00,2024/02/18 19:11:02+00,2575,12:54:00,03:24
OH,Tiro,40.906235,-82.769001,2024/02/18 17:57:20+00,2024-02-18 19:11:51+00:00,2024-02-18 19:15:38+00:00,2024/02/18 20:27:30+00,2024/02/18 19:13:44+00,2576,12:57:20,03:47
OH,Toledo,41.664071,-83.581861,2024/02/18 17:57:10+00,2024-02-18 19:12:21+00:00,2024-02-18 19:13:51+00:00,2024/02/18 20:26:50+00,2024/02/18 19:13:06+00,2577,12:57:10,01:30
OH,Tontogany,41.421033,-83.740976,2024/02/18 17:56:30+00,2024-02-18 19:11:26+00:00,2024-02-18 19:14:08+00:00,2024/02/18 20:26:40+00,2024/02/18 19:12:47+00,2578,12:56:30,02:42
OH,Tremont City,40.013912,-83.83835,2024/02/18 17:54:40+00,2024-02-18 19:10:03+00:00,2024-02-18 19:13:05+00:00,2024/02/18 20:26:00+00,2024/02/18 19:11:34+00,2579,12:54:40,03:02
OH,Trenton,39.478808,-84.466373,2024/02/18 17:53:00+00,2024-02-18 19:09:08+00:00,2024-02-18 19:11:13+00:00,2024/02/18 20:25:00+00,2024/02/18 19:10:10+00,2580,12:53:00,02:05
OH,Trotwood,39.791838,-84.321834,2024/02/18 17:53:40+00,2024-02-18 19:09:08+00:00,2024-02-18 19:12:15+00:00,2024/02/18 20:25:20+00,2024/02/18 19:10:42+00,2581,12:53:40,03:07
OH,Troy,40.043891,-84.21953,2024/02/18 17:54:10+00,2024-02-18 19:09:13+00:00,2024-02-18 19:12:51+00:00,2024/02/18 20:25:40+00,2024/02/18 19:11:02+00,2582,12:54:10,03:38
OH,Twinsburg,41.322594,-81.443123,2024/02/18 17:59:50+00,2024-02-18 19:14:11+00:00,2024-02-18 19:17:37+00:00,2024/02/18 20:29:10+00,2024/02/18 19:15:54+00,2583,12:59:50,03:26
OH,Twinsburg Heights,41.306367,-81.4579,2024/02/18 17:59:40+00,2024-02-18 19:14:10+00:00,2024-02-18 19:17:35+00:00,2024/02/18 20:29:10+00,2024/02/18 19:15:52+00,2584,12:59:40,03:25
OH,Union,39.906599,-84.29333,2024/02/18 17:53:50+00,2024-02-18 19:09:07+00:00,2024-02-18 19:12:32+00:00,2024/02/18 20:25:30+00,2024/02/18 19:10:50+00,2585,12:53:50,03:25
OH,Union City,40.198539,-84.789208,2024/02/18 17:53:20+00,2024-02-18 19:08:21+00:00,2024-02-18 19:12:22+00:00,2024/02/18 20:25:00+00,2024/02/18 19:10:22+00,2586,12:53:20,04:01
OH,Uniontown,40.959366,-81.403701,2024/02/18 17:59:30+00,2024-02-18 19:14:42+00:00,2024-02-18 19:16:41+00:00,2024/02/18 20:29:10+00,2024/02/18 19:15:42+00,2587,12:59:30,01:59
OH,Unionville Center,40.13705,-83.341267,2024/02/18 17:55:30+00,2024-02-18 19:11:05+00:00,2024-02-18 19:13:38+00:00,2024/02/18 20:26:40+00,2024/02/18 19:12:22+00,2588,12:55:30,02:33
OH,Uniopolis,40.602322,-84.085692,2024/02/18 17:55:00+00,2024-02-18 19:09:42+00:00,2024-02-18 19:13:40+00:00,2024/02/18 20:26:00+00,2024/02/18 19:11:41+00,2589,12:55:00,03:58
OH,University Heights,41.494785,-81.534898,2024/02/18 17:59:50+00,2024-02-18 19:13:58+00:00,2024-02-18 19:17:45+00:00,2024/02/18 20:29:10+00,2024/02/18 19:15:52+00,2590,12:59:50,03:47
OH,Upper Sandusky,40.830669,-83.270709,2024/02/18 17:56:30+00,2024-02-18 19:11:02+00:00,2024-02-18 19:14:59+00:00,2024/02/18 20:27:00+00,2024/02/18 19:13:00+00,2591,12:56:30,03:57
OH,Urbana,40.109096,-83.754984,2024/02/18 17:54:50+00,2024-02-18 19:10:10+00:00,2024-02-18 19:13:23+00:00,2024/02/18 20:26:10+00,2024/02/18 19:11:46+00,2592,12:54:50,03:13
OH,Valley City,41.233647,-81.939611,2024/02/18 17:59:00+00,2024-02-18 19:13:17+00:00,2024-02-18 19:16:59+00:00,2024/02/18 20:28:40+00,2024/02/18 19:15:08+00,2593,12:59:00,03:42
OH,Valley Hi,40.316243,-83.675963,2024/02/18 17:55:10+00,2024-02-18 19:10:14+00:00,2024-02-18 19:13:50+00:00,2024/02/18 20:26:20+00,2024/02/18 19:12:02+00,2594,12:55:10,03:36
OH,Valley View,41.3815,-81.608298,2024/02/18 17:59:30+00,2024-02-18 19:13:51+00:00,2024-02-18 19:17:32+00:00,2024/02/18 20:29:00+00,2024/02/18 19:15:42+00,2595,12:59:30,03:41
OH,Van Buren,41.138673,-83.649441,2024/02/18 17:56:20+00,2024-02-18 19:10:55+00:00,2024-02-18 19:14:28+00:00,2024/02/18 20:26:40+00,2024/02/18 19:12:42+00,2596,12:56:20,03:33
OH,Vandalia,39.878977,-84.192224,2024/02/18 17:54:00+00,2024-02-18 19:09:22+00:00,2024-02-18 19:12:34+00:00,2024/02/18 20:25:40+00,2024/02/18 19:10:58+00,2597,12:54:00,03:12
OH,Vanlue,40.974092,-83.48475,2024/02/18 17:56:20+00,2024-02-18 19:10:52+00:00,2024-02-18 19:14:45+00:00,2024/02/18 20:26:50+00,2024/02/18 19:12:48+00,2598,12:56:20,03:53
OH,Van Wert,40.864796,-84.588518,2024/02/18 17:54:30+00,2024-02-18 19:09:34+00:00,2024-02-18 19:12:45+00:00,2024/02/18 20:25:30+00,2024/02/18 19:11:10+00,2599,12:54:30,03:11
OH,Vaughnsville,40.880224,-84.145321,2024/02/18 17:55:20+00,2024-02-18 19:10:00+00:00,2024-02-18 19:13:36+00:00,2024/02/18 20:26:00+00,2024/02/18 19:11:48+00,2600,12:55:20,03:36
OH,Venedocia,40.785009,-84.455943,2024/02/18 17:54:40+00,2024-02-18 19:09:32+00:00,2024-02-18 19:13:02+00:00,2024/02/18 20:25:40+00,2024/02/18 19:11:17+00,2601,12:54:40,03:30
OH,Vermilion,41.408005,-82.317254,2024/02/18 17:58:30+00,2024-02-18 19:12:48+00:00,2024-02-18 19:16:43+00:00,2024/02/18 20:28:10+00,2024/02/18 19:14:46+00,2602,12:58:30,03:55
OH,Verona,39.901324,-84.505997,2024/02/18 17:53:30+00,2024-02-18 19:08:41+00:00,2024-02-18 19:12:19+00:00,2024/02/18 20:25:10+00,2024/02/18 19:10:30+00,2603,12:53:30,03:38
OH,Versailles,40.222271,-84.482673,2024/02/18 17:54:00+00,2024-02-18 19:08:49+00:00,2024-02-18 19:12:47+00:00,2024/02/18 20:25:20+00,2024/02/18 19:10:48+00,2604,12:54:00,03:58
OH,Vickery,41.376929,-82.94151,2024/02/18 17:57:40+00,2024-02-18 19:12:00+00:00,2024-02-18 19:15:41+00:00,2024/02/18 20:27:30+00,2024/02/18 19:13:50+00,2605,12:57:40,03:41
